City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Zhangye,CN,2020-11-19 05:34:07,38.93,100.45,54.61,31,80,2.57
231,Irtyshskiy,RU,2020-11-19 05:38:55,58.33,68.13,16.39,90,1,8.52
232,Malatya,TR,2020-11-19 05:38:55,38.5,38.0,28.4,92,0,4.7
233,Newtownards,GB,2020-11-19 05:38:55,54.59,-5.69,45.0,81,59,6.93
234,Luderitz,NA,2020-11-19 05:38:55,-26.65,15.16,60.8,77,0,16.11
235,Vostok,RU,2020-11-19 05:38:56,46.49,135.88,21.29,98,100,6.91
236,Palmer,US,2020-11-19 05:38:56,42.16,-72.33,21.99,78,1,3.31
237,Perg,AT,2020-11-19 05:38:56,48.25,14.63,37.99,100,75,1.12
238,Yuanping,CN,2020-11-19 05:38:56,38.72,112.76,42.48,59,0,13.31
239,Malkangiri,IN,2020-11-19 05:38:57,18.35,81.9,88.0,49,65,0.67
240,Deputatskiy,RU,2020-11-19 05:38:57,69.3,139.9,-8.86,90,48,5.61
241,Bara,NG,2020-11-19 05:38:57,10.37,10.73,67.08,29,2,6.24
242,Ravenna,IT,2020-11-19 05:38:57,44.42,11.98,48.99,93,0,3.36
243,Iquitos,PE,2020-11-19 05:38:58,-3.75,-73.25,75.2,94,20,3.36
244,Katsuura,JP,2020-11-19 05:38:58,35.13,140.3,75.0,73,75,18.34
245,Nouakchott,MR,2020-11-19 05:38:58,18.09,-15.98,66.2,25,31,8.05
246,Salalah,OM,2020-11-19 05:38:59,17.02,54.09,80.6,61,0,2.24
247,Sitka,US,2020-11-19 05:38:59,57.05,-135.33,33.8,55,90,5.82
248,Pangkalanbuun,ID,2020-11-19 05:38:59,-2.68,111.62,79.74,92,89,0.87
249,Codrington,AU,2020-11-19 05:38:59,-38.27,141.97,84.16,50,49,10.89
250,Port Alfred,ZA,2020-11-19 05:39:00,-33.59,26.89,64.8,75,86,13.24
251,Srednekolymsk,RU,2020-11-19 05:39:00,67.45,153.68,0.36,91,100,16.53
252,Pierre,US,2020-11-19 05:35:03,44.37,-100.35,44.6,65,1,4.7
253,Nouadhibou,MR,2020-11-19 05:39:00,20.93,-17.03,71.6,43,0,16.11
254,Curup,ID,2020-11-19 05:39:00,-3.47,102.53,86.07,52,75,2.3
255,Kendari,ID,2020-11-19 05:39:01,-3.94,122.5,89.29,56,0,7.0
256,Santa Isabel Do Rio Negro,BR,2020-11-19 05:39:01,-0.41,-65.02,73.9,97,88,2.19
257,Black Diamond,US,2020-11-19 05:39:01,47.31,-122.0,45.0,92,70,5.12
258,Orumiyeh,IR,2020-11-19 05:39:02,37.55,45.08,37.4,93,75,4.7
259,East London,ZA,2020-11-19 05:34:51,-33.02,27.91,60.8,93,90,17.22
260,Bonfim,BR,2020-11-19 05:39:02,3.08,-59.95,75.97,74,100,7.07
261,Sedalia,US,2020-11-19 05:39:03,38.7,-93.23,61.0,31,1,18.34
262,Smithers,CA,2020-11-19 05:37:14,54.78,-127.17,26.6,79,90,10.29
263,Iqaluit,CA,2020-11-19 05:39:03,63.75,-68.51,12.2,85,75,25.28
264,Rawson,AR,2020-11-19 05:39:03,-43.3,-65.1,56.01,74,0,3.94
265,Morant Bay,JM,2020-11-19 05:39:04,17.88,-76.41,78.8,83,20,8.05
266,Ahar,IR,2020-11-19 05:39:04,38.48,47.07,36.77,83,100,5.03
267,Kahului,US,2020-11-19 05:34:24,20.89,-156.47,75.2,83,75,18.34
268,Tual,ID,2020-11-19 05:39:04,-5.67,132.75,84.67,71,50,7.83
269,Thompson,CA,2020-11-19 05:34:44,55.74,-97.86,14.0,92,90,4.7
270,Nizwa,OM,2020-11-19 05:39:05,22.93,57.53,77.49,34,1,0.78
271,Moultrie,US,2020-11-19 05:35:37,31.18,-83.79,42.8,70,1,6.98
272,Keroka,KE,2020-11-19 05:39:05,-0.78,34.95,65.93,70,8,1.99
273,Pacific Grove,US,2020-11-19 05:39:05,36.62,-121.92,57.2,93,90,4.23
274,Baherden,TM,2020-11-19 05:39:06,38.44,57.43,31.21,75,20,16.6
275,Lipin Bor,RU,2020-11-19 05:39:06,60.26,37.98,41.56,93,100,18.9
276,Winchester,GB,2020-11-19 05:39:06,51.07,-1.32,50.0,70,13,21.92
277,Saint-Leu,RE,2020-11-19 05:39:06,-21.15,55.28,77.0,57,90,12.75
278,Korla,CN,2020-11-19 05:39:07,41.76,86.15,41.0,54,100,4.0
279,Kez,RU,2020-11-19 05:39:07,57.9,53.72,20.89,84,58,12.75
280,Baykit,RU,2020-11-19 05:39:07,61.67,96.37,2.28,89,97,1.63
281,Umm Lajj,SA,2020-11-19 05:39:07,25.02,37.27,78.46,44,0,4.29
282,Saint Anthony,US,2020-11-19 05:39:08,45.02,-93.22,51.8,61,1,8.05
283,Adre,TD,2020-11-19 05:39:08,13.47,22.2,69.15,26,0,16.11
284,Alta Floresta,BR,2020-11-19 05:39:08,-9.88,-56.09,68.05,98,100,1.72
285,Zhigansk,RU,2020-11-19 05:39:08,66.77,123.37,-3.6,91,98,13.53
286,Mayumba,GA,2020-11-19 05:39:09,-3.43,10.66,76.71,88,100,6.02
287,Pevek,RU,2020-11-19 05:39:09,69.7,170.31,25.7,99,100,3.29
288,Tiksi,RU,2020-11-19 05:39:09,71.69,128.87,-1.26,88,81,27.04
289,Vorozhba,UA,2020-11-19 05:39:09,51.17,34.22,24.44,96,20,10.07
290,Paldiski,EE,2020-11-19 05:39:10,59.36,24.05,50.0,81,90,23.04
291,Russkaya Polyana,UA,2020-11-19 05:39:10,49.42,31.92,29.05,94,41,8.32
292,Sibu,MY,2020-11-19 05:39:10,2.3,111.82,80.6,88,40,5.82
