City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Taganak,PH,6.08,118.3,77.0,94,40,3.36,heavy intensity rain
186,Alice Springs,AU,-23.7,133.88,86.0,17,0,8.05,clear sky
187,Pisco,PE,-13.7,-76.22,66.2,72,0,21.92,clear sky
188,Bredasdorp,ZA,-34.53,20.04,53.6,66,53,8.05,broken clouds
189,Cowra,AU,-33.83,148.68,66.0,71,11,3.0,few clouds
190,Paita,PE,-5.09,-81.11,63.91,83,46,18.12,scattered clouds
191,Los Llanos De Aridane,ES,28.66,-17.92,68.0,64,0,5.82,clear sky
192,Arman,RU,59.7,150.17,0.86,84,11,8.61,few clouds
193,Mar Del Plata,AR,-38.0,-57.56,66.99,88,0,5.3,clear sky
194,Abu Dhabi,AE,24.47,54.37,71.6,64,20,3.36,few clouds
195,Causapscal,CA,48.35,-67.23,15.4,90,16,8.25,few clouds
196,Sinnamary,GF,5.38,-52.95,78.35,86,45,9.4,scattered clouds
197,Thinadhoo,MV,0.53,72.93,81.79,78,1,10.47,clear sky
198,Oistins,BB,13.07,-59.53,78.8,83,40,10.29,scattered clouds
199,Nuuk,GL,64.18,-51.72,32.0,96,100,16.11,overcast clouds
200,Wajir,KE,1.75,40.06,79.65,73,0,14.41,clear sky
201,Saint-Philippe,RE,-21.36,55.77,73.4,60,87,6.93,overcast clouds
202,Schweinfurt,DE,50.05,10.23,39.0,92,96,4.27,overcast clouds
203,Arandis,NA,-22.42,14.97,57.99,88,5,2.44,clear sky
204,Cruz Alta,BR,-28.64,-53.61,74.68,36,60,9.62,broken clouds
205,Porto Novo,BJ,6.5,2.6,84.2,79,40,12.75,scattered clouds
206,San Andres,CO,12.58,-81.7,78.8,94,90,9.17,light intensity drizzle
207,Chokurdakh,RU,70.63,147.92,-1.16,93,100,9.01,overcast clouds
208,Sawtell,AU,-30.38,153.1,75.2,60,75,12.75,broken clouds
209,Sorland,NO,67.67,12.69,41.0,86,75,18.34,broken clouds
210,Mahad,IN,18.08,73.42,72.01,55,96,3.98,overcast clouds
211,Poum,NC,-20.23,164.02,78.19,75,89,15.03,light rain
212,Mahibadhoo,MV,3.78,72.97,82.67,66,92,6.2,overcast clouds
213,Hami,CN,42.8,93.45,16.48,74,0,3.27,clear sky
214,Kruisfontein,ZA,-34.0,24.73,57.0,88,22,1.99,few clouds
215,Salinas,US,36.68,-121.66,64.4,48,1,12.75,clear sky
216,Kolokani,ML,13.57,-8.03,68.58,22,0,10.87,clear sky
217,Toila,EE,59.42,27.5,37.58,79,35,4.85,scattered clouds
218,Torbay,CA,47.67,-52.73,37.99,83,90,35.57,overcast clouds
219,Sakakah,SA,29.97,40.21,55.4,62,0,3.36,clear sky
220,Soe,ID,-9.86,124.28,82.51,48,62,1.61,broken clouds
221,Baindur,IN,13.87,74.63,75.45,63,89,6.26,overcast clouds
222,Buala,SB,-8.14,159.59,78.98,71,100,6.82,overcast clouds
223,San Antonio,US,29.42,-98.49,82.4,51,20,10.29,few clouds
224,Huarmey,PE,-10.07,-78.15,64.29,81,8,8.19,clear sky
225,Laguna,US,38.42,-121.42,64.0,39,1,5.82,clear sky
226,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,75.85,95,100,0.49,light rain
227,Garmsar,IR,35.22,52.34,44.33,78,0,0.58,clear sky
228,Ostrovnoy,RU,68.05,39.51,32.16,96,37,3.6,scattered clouds
229,Willowmore,ZA,-33.29,23.49,51.73,71,22,5.01,few clouds
230,Atbasar,KZ,51.8,68.33,7.74,95,55,7.18,broken clouds
231,Vila,PT,42.03,-8.16,51.01,92,100,4.0,moderate rain
232,Tuatapere,NZ,-46.13,167.68,69.01,44,0,5.99,clear sky
233,Bosaso,SO,11.28,49.18,80.1,77,33,2.77,scattered clouds
234,Broome,US,42.25,-75.83,30.99,68,1,3.36,clear sky
235,Srednekolymsk,RU,67.45,153.68,-2.06,92,100,9.28,overcast clouds
236,Zhigansk,RU,66.77,123.37,-2.85,91,100,14.05,overcast clouds
237,Mulege,MX,26.88,-111.98,70.66,50,0,6.44,clear sky
238,Flagstaff,US,35.2,-111.65,44.01,38,1,6.93,clear sky
239,Solvychegodsk,RU,61.33,46.92,24.55,97,100,5.19,snow
240,Mezen,RU,65.85,44.24,26.46,98,100,5.61,overcast clouds
241,Sao Joao De Pirabas,BR,-0.77,-47.18,78.91,82,43,8.97,scattered clouds
242,Yulara,AU,-25.24,130.99,86.0,15,53,14.99,broken clouds
243,Lorengau,PG,-2.02,147.27,85.98,65,76,6.42,broken clouds
244,Agua Verde,MX,22.9,-106.05,80.6,78,20,8.05,few clouds
245,Kavaratti,IN,10.57,72.64,82.09,69,61,7.65,broken clouds
246,Waipawa,NZ,-41.41,175.52,60.01,93,100,4.7,light rain
247,Solnechnyy,RU,50.72,136.63,15.73,80,0,2.04,clear sky
248,Krasnoselkup,RU,65.7,82.47,12.2,96,99,10.65,overcast clouds
249,Darnah,LY,32.77,22.64,63.1,71,99,9.98,light rain
250,Zabol,AF,32.25,67.25,35.51,93,51,8.37,broken clouds
251,Muhos,FI,64.81,25.99,24.8,100,90,1.12,overcast clouds
252,Grand-Lahou,CI,5.14,-5.02,78.71,83,76,7.11,light rain
253,Mandalgovi,MN,45.76,106.27,10.47,96,56,6.64,broken clouds
254,Costa Rica,BR,-23.42,-54.65,76.86,40,0,4.72,clear sky
255,Bisho,ZA,-32.85,27.44,54.25,90,97,4.94,overcast clouds
256,Svetlyy,RU,54.67,20.13,46.4,93,90,13.42,overcast clouds
257,Kamenka,RU,51.32,42.77,32.9,99,100,6.2,overcast clouds
258,Ouadda,CF,8.08,22.4,70.74,39,18,3.29,few clouds
259,Bambous Virieux,MU,-20.34,57.76,75.99,88,75,11.41,shower rain
260,Bilma,NE,18.69,12.92,64.76,36,0,17.02,clear sky
261,Cody,US,44.53,-109.06,39.2,29,1,6.93,clear sky
262,Sao Filipe,CV,14.9,-24.5,79.5,71,100,4.7,overcast clouds
263,Gao,ML,16.64,1.64,67.95,22,1,7.34,clear sky
264,Buhe,CN,30.29,112.23,37.99,96,100,8.23,overcast clouds
265,Kon Tum,VN,14.35,108.0,68.22,84,93,3.24,overcast clouds
266,Salimbalan,PH,8.27,124.72,80.01,85,94,3.0,overcast clouds
267,Marystown,CA,47.17,-55.15,37.99,100,99,15.01,overcast clouds
268,Villazon,BO,-22.09,-65.59,54.01,64,89,17.29,light rain
269,Najibabad,IN,29.63,78.33,59.72,48,100,3.2,overcast clouds
270,Mandan,US,46.83,-100.89,26.6,85,1,3.62,clear sky
271,Shimoda,JP,34.67,138.95,53.6,87,75,20.8,broken clouds
272,Airai,TL,-8.93,125.41,73.6,67,28,1.01,scattered clouds
273,Narsaq,GL,60.92,-46.05,37.4,51,100,25.28,snow
274,The Valley,AI,18.22,-63.06,79.0,83,20,6.93,few clouds
275,Tulun,RU,54.56,100.58,5.36,94,70,2.28,broken clouds
276,Nefteyugansk,RU,61.1,72.6,19.4,100,75,11.18,broken clouds
277,Capinopolis,BR,-18.68,-49.57,73.44,74,43,9.31,moderate rain
278,Sisimiut,GL,66.94,-53.67,23.16,94,100,5.57,light snow
279,Vao,NC,-22.67,167.48,75.61,68,21,9.37,few clouds
280,Yeppoon,AU,-23.13,150.73,84.2,51,75,10.29,light rain
281,Leningradskiy,RU,69.38,178.42,26.71,97,100,25.66,light snow
282,Elliot Lake,CA,46.38,-82.63,28.4,79,90,13.87,overcast clouds
283,Voyvozh,RU,62.89,54.96,18.91,96,100,7.56,overcast clouds
284,Hambantota,LK,6.12,81.12,78.15,81,100,14.7,overcast clouds
285,Altay,CN,47.87,88.12,10.22,61,29,3.85,scattered clouds
286,Naze,JP,28.37,129.48,71.6,73,75,11.41,broken clouds
287,Brawley,US,32.98,-115.53,73.99,18,1,6.93,clear sky
288,Margate,GB,51.38,1.39,50.0,77,100,5.01,overcast clouds
289,Douglas,US,41.3,-96.17,39.99,100,90,11.41,overcast clouds
290,Cockburn Town,TC,21.46,-71.14,79.95,73,2,21.65,clear sky
291,Tiarei,PF,-17.53,-149.33,78.8,94,75,18.34,light rain
292,Dudinka,RU,69.41,86.18,15.8,85,75,13.42,light snow
293,Taltal,CL,-25.4,-70.48,62.96,70,37,5.3,scattered clouds
294,Sar-E Pul,AF,35.83,66.17,26.85,93,90,1.45,overcast clouds
295,Manoel Urbano,BR,-8.84,-69.26,79.32,80,80,7.05,light rain
296,Sao Joao Da Barra,BR,-21.64,-41.05,72.54,86,94,9.01,overcast clouds
297,Palu,ID,-0.89,119.87,82.17,68,98,1.01,moderate rain
298,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,76.01,89,100,0.74,overcast clouds
299,Jieshi,CN,22.81,115.83,71.01,76,49,1.01,scattered clouds
300,Quelimane,MZ,-17.88,36.89,79.16,69,0,4.72,clear sky
301,Ilebo,CD,-4.32,20.58,69.31,96,100,0.78,overcast clouds
302,Brae,GB,60.4,-1.35,44.6,87,75,10.29,light rain
303,Half Moon Bay,US,37.46,-122.43,64.0,82,1,10.29,clear sky
304,Vrede,ZA,-27.43,29.17,57.61,51,0,3.36,clear sky
305,Nishihara,JP,26.18,127.76,73.4,64,75,10.29,broken clouds
306,Nagornskiy,RU,58.77,57.55,23.0,83,100,5.01,overcast clouds
307,Naryan-Mar,RU,67.67,53.09,19.99,97,99,11.34,overcast clouds
308,Ratnagiri,IN,16.98,73.3,75.02,61,90,5.66,overcast clouds
309,Alamos,MX,27.02,-108.93,79.0,42,0,3.0,clear sky
310,Dolores,AR,-36.31,-57.68,64.63,96,100,14.25,moderate rain
311,Shubarkuduk,KZ,49.14,56.49,19.24,94,20,9.33,few clouds
312,Asau,RO,46.43,26.4,33.01,81,0,5.06,clear sky
313,Tazovskiy,RU,67.47,78.7,7.99,95,100,9.44,overcast clouds
314,Tineo,ES,43.34,-6.41,57.99,66,90,4.7,overcast clouds
315,Niort,FR,46.33,-0.33,48.99,81,100,4.0,overcast clouds
316,Kashi,CN,39.45,75.98,21.2,73,20,11.18,few clouds
317,Nikolskoye,RU,59.7,30.79,36.0,90,75,4.47,broken clouds
318,Ukiah,US,39.15,-123.21,64.4,39,1,3.36,clear sky
319,Boyolangu,ID,-8.12,111.89,80.15,77,89,7.25,overcast clouds
320,Bubaque,GW,11.28,-15.83,82.27,77,3,14.09,clear sky
321,Antalaha,MG,-14.9,50.28,72.18,85,51,6.26,broken clouds
322,Havelock,US,34.88,-76.9,46.99,80,29,4.25,scattered clouds
323,Wamba,NG,8.93,8.6,77.09,46,79,3.87,broken clouds
324,Chapais,CA,49.78,-74.85,10.4,85,90,2.24,overcast clouds
325,Cap Malheureux,MU,-19.98,57.61,75.99,78,4,5.01,clear sky
326,Nogales,MX,31.31,-110.94,66.2,16,1,9.17,clear sky
327,Guryevsk,RU,54.28,85.93,8.01,95,77,0.98,broken clouds
328,Capinota,BO,-17.72,-66.23,75.2,29,75,5.82,broken clouds
329,Katsuura,JP,35.13,140.3,52.0,87,75,13.87,broken clouds
330,Verkhnevilyuysk,RU,63.45,120.32,-2.9,90,100,8.93,overcast clouds
331,Novyy Urengoy,RU,66.08,76.63,12.96,96,94,10.25,overcast clouds
332,Sant,RO,47.45,24.9,27.0,81,7,1.57,clear sky
333,Taonan,CN,45.33,122.78,26.91,92,97,6.04,overcast clouds
334,Rapid Valley,US,44.06,-103.15,37.4,50,1,1.05,clear sky
335,Muros,ES,42.78,-9.06,53.01,93,99,4.56,light rain
336,Vestmannaeyjar,IS,63.44,-20.27,36.59,79,89,14.61,overcast clouds
337,Ozernovskiy,RU,51.5,156.52,30.49,91,100,30.91,overcast clouds
338,Nemuro,JP,43.32,145.57,33.8,64,75,6.93,broken clouds
339,Palmer,US,42.16,-72.33,30.99,68,40,3.22,scattered clouds
340,Thunder Bay,CA,48.4,-89.32,34.0,94,90,4.7,mist
341,Xuddur,SO,4.12,43.89,74.95,78,46,9.93,scattered clouds
342,Ust-Kalmanka,RU,52.12,83.31,12.83,96,94,1.25,overcast clouds
343,Santa Branca,BR,-23.4,-45.88,69.8,73,40,5.82,scattered clouds
344,Banda Aceh,ID,5.56,95.32,78.84,79,33,10.67,scattered clouds
345,Cedar City,US,37.68,-113.06,39.2,48,1,12.75,clear sky
346,Ahipara,NZ,-35.17,173.17,69.28,75,46,19.17,scattered clouds
347,Wanning,CN,18.8,110.4,75.29,87,85,11.65,overcast clouds
348,Kastamonu,TR,41.5,33.67,37.09,90,100,1.79,overcast clouds
349,Saint-Joseph,RE,-21.37,55.62,69.8,60,91,4.7,overcast clouds
350,Meulaboh,ID,4.14,96.13,76.37,89,63,4.72,broken clouds
351,Olga,RU,43.74,135.29,28.9,85,100,3.4,overcast clouds
352,Palana,RU,59.12,159.97,13.8,97,98,2.1,light snow
353,Portobelo,PA,9.55,-79.65,79.0,99,99,6.78,overcast clouds
354,Antofagasta,CL,-23.65,-70.4,60.8,77,90,9.17,overcast clouds
355,Lompoc,US,34.64,-120.46,63.0,55,1,10.29,clear sky
356,Lazurne,UA,46.08,32.53,43.92,67,25,10.96,scattered clouds
357,Stryn,NO,61.9,6.72,34.0,95,100,9.42,light rain
358,Khorixas,NA,-20.37,14.97,63.75,45,0,2.75,clear sky
359,Kawalu,ID,-7.38,108.21,75.85,81,92,2.26,overcast clouds
360,Harper,LR,4.38,-7.72,78.03,88,9,7.81,clear sky
361,Anstruther,GB,56.22,-2.7,46.4,93,75,9.17,broken clouds
362,Miri,MY,4.41,114.01,75.2,94,40,5.82,heavy intensity rain
